@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4}

@data
5040,12420,0,96,329,14,class_0
6300,12060,0,82,357,72,class_0
6000,15120,0,67,315,35.5,class_0
6840,10380,0,92,374,41.5,class_0
6900,10920,0,75,416,132,class_0
5400,12660.001,0,91,331,17.5,class_0
6000,12960,0,66,355,64,class_0
6000,12360,0,86,348,25,class_0
5100,8940,1,95,640,165,class_0
5400,13320,1,86,329,24,class_0
5400,9540,1,66,534,122,class_0
5400,9420,1,72,589,49,class_0
5100,11160,1,98,571,115,class_0
5700,8280,1,65,714,241,class_0
5700,10260,1,82,362,51,class_0
6600,11220,0,66,369,84,class_0
6600,12240.001,0,83,536,215.5,class_0
5700,11220,0,94,392,36,class_0
6000,11580,0,83,521,108,class_0
6000,10680.001,0,87,364,56,class_0
6600,15360.001,0,83,340,64,class_0
5400,9480,0,88,690,359,class_0
5700,10620,1,88,410,61,class_0
5400,10320,1,78,584,51,class_0
4440,9600,1,97,341,75,class_0
6300,10860.001,1,84,662,231,class_0
6000,11940,1,86,486,78.5,class_0
6000,16320.001,0,97,354,24,class_1
6000,12300,0,66,351,56,class_1
6000,10140,0,82,363,32,class_1
6000,12360,0,88,555,252,class_1
6900,10920,0,89,481,175,class_1
4800,8580,1,98,774,381,class_1
4800,9000,1,77,505,63,class_1
4800,8820,1,76,482,6,class_1
5520,9600,1,82,558,97,class_1
5400,8940,1,88,338,26,class_1
5700,9000,1,76,667,90,class_1
3900,8760,1,98,327,0,class_1
4800,9780,1,75,619,144,class_1
6120,9360,1,78,624,208.5,class_1
4290,9180.001,1,69,280,5,class_1
4380,10380,1,92,305,0,class_1
5400,11880,1,66,302,26,class_1
5400,8400,1,70,628,82,class_1
5520,8880,1,67,694,196,class_1
5640,10080,1,90,368,55,class_1
4800,9240,1,73,590,228,class_1
4500,7980,1,80,298,8,class_1
5400,11940,1,77,325,38,class_1
6300,9780,1,66,394,86.5,class_1
5160,10680.001,1,87,320,18,class_1
5400,9600,1,98,568,244,class_1
5280,9780,1,88,653,107,class_1
4800,8340,1,87,647,163,class_1
4800,13560,1,82,338,11,class_1
4380,9720,1,93,303,4.5,class_1
4380,10500.001,1,89,310,0,class_1
5400,10680.001,0,88,359,38,class_1
5400,11640,0,96,474,113,class_1
5100,7860,0,84,535,180,class_1
5100,8700,0,97,637,315,class_1
6000,12180,0,91,364,49,class_1
6000,8940,0,80,686,272,class_1
4620,11100,0,77,293,11.5,class_1
5220,10080,0,85,344,29,class_1
5400,12600,0,78,305,7,class_1
6000,9720,1,69,488,121,class_1
5100,9600,1,85,406,59,class_1
4800,11100,1,87,349,11,class_1
5700,9780,1,74,542,116.5,class_1
5400,10440,1,72,604,169,class_1
5100,10560,1,84,458,36,class_1
5580,7860,1,69,600,132.5,class_1
4620,9420,1,96,385,52,class_1
5220,8340,1,70,468,127,class_1
8100,13979.999,0,66,369,54.5,class_2
6000,14400,0,96,402,45.5,class_2
5100,10020.001,1,87,508,123,class_2
4800,9240,1,84,571,214,class_2
5280,8760,1,98,557,190,class_3
5280,8040,1,88,745,90,class_3
5220,7860,1,70,671,102,class_3
5100,9660,1,66,554,96,class_3
4380,9600,1,92,305,6.25,class_3
5400,8640,1,65,603,173,class_3
4500,12540.001,1,96,366,52,class_3
5400,8640,1,66,771,228,class_3
4800,8340,1,79,602,70,class_3
4980,8700,1,74,718,318,class_3
6000,8940,0,78,659,320,class_3
4380,10020.001,1,93,313,7.5,class_3
4020,9840,1,92,528,44,class_4
