@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15}

@data
4.4,78,class_0
3.9,74,class_0
4,68,class_0
4,76,class_0
3.5,80,class_0
4.1,84,class_0
2.3,50,class_0
4.7,93,class_0
1.7,55,class_0
4.9,76,class_0
1.7,58,class_0
4.6,74,class_0
3.4,75,class_0
4.3,80,class_1
1.7,56,class_1
3.9,80,class_1
3.7,69,class_1
3.1,57,class_1
4,90,class_1
1.8,42,class_1
4.1,91,class_1
1.8,51,class_1
3.2,79,class_1
1.9,53,class_1
4.6,82,class_1
2,51,class_1
4.5,76,class_2
3.9,82,class_2
4.3,84,class_2
2.3,53,class_2
3.8,86,class_2
1.9,51,class_2
4.6,85,class_2
1.8,45,class_2
4.7,88,class_2
1.8,51,class_2
4.6,80,class_2
1.9,49,class_2
3.5,82,class_2
4,75,class_3
3.7,73,class_3
3.7,67,class_3
4.3,68,class_3
3.6,86,class_3
3.8,72,class_3
3.8,75,class_3
3.8,75,class_3
2.5,66,class_3
4.5,84,class_3
4.1,70,class_3
3.7,79,class_3
3.8,60,class_3
3.4,86,class_3
4,71,class_4
2.3,67,class_4
4.4,81,class_4
4.1,76,class_4
4.3,83,class_4
3.3,76,class_4
2,55,class_4
4.3,73,class_4
2.9,56,class_4
4.6,83,class_4
1.9,57,class_4
3.6,71,class_4
3.7,72,class_4
3.7,77,class_4
1.8,55,class_5
4.6,75,class_5
3.5,73,class_5
4,70,class_5
3.7,83,class_5
1.7,50,class_5
4.6,95,class_5
1.7,51,class_5
4,82,class_5
1.8,54,class_5
4.4,83,class_5
1.9,51,class_5
4.6,80,class_5
2.9,78,class_5
3.5,81,class_6
2,53,class_6
4.3,89,class_6
1.8,44,class_6
4.1,78,class_6
1.8,61,class_6
4.7,73,class_6
4.2,75,class_6
3.9,73,class_6
4.3,76,class_6
1.8,55,class_6
4.5,86,class_6
2,48,class_6
4.2,77,class_7
4.4,73,class_7
4.1,70,class_7
4.1,88,class_7
4,75,class_7
4.1,83,class_7
2.7,61,class_7
4.6,78,class_7
1.9,61,class_7
4.5,81,class_7
2,51,class_7
4.8,80,class_7
4.1,79,class_7
4.1,82,class_8
4.2,80,class_8
4.5,76,class_8
1.9,56,class_8
4.7,82,class_8
2,47,class_8
4.7,76,class_8
2.5,61,class_8
4.3,75,class_8
4.4,72,class_8
4.4,74,class_8
4.3,69,class_8
4.6,78,class_8
2.1,52,class_8
4.8,91,class_9
4.1,66,class_9
4,71,class_9
4,75,class_9
4.4,81,class_9
4.1,77,class_9
4.3,74,class_9
4,70,class_9
3.9,83,class_9
3.2,53,class_9
4.5,82,class_9
2.2,62,class_9
4.7,73,class_9
4.6,84,class_9
2.2,58,class_10
4.8,82,class_10
4.3,77,class_10
3.8,75,class_10
4,77,class_10
4.1,77,class_10
1.8,53,class_10
4.4,75,class_10
4,78,class_10
2.2,51,class_10
5.1,81,class_10
1.9,52,class_10
5,76,class_10
4.4,73,class_10
4.5,84,class_11
3.8,72,class_11
4.3,89,class_11
4.4,75,class_11
2.2,57,class_11
4.8,81,class_11
1.9,49,class_11
4.7,87,class_11
1.8,43,class_11
4.8,94,class_11
2,45,class_11
4.4,81,class_11
2.5,59,class_11
4.3,82,class_11
4.4,80,class_12
1.9,54,class_12
4.7,75,class_12
4.3,73,class_12
2.2,57,class_12
4.7,80,class_12
2.3,51,class_12
4.6,77,class_12
3.3,66,class_12
4.2,77,class_12
2.9,60,class_12
4.6,86,class_12
3.3,62,class_12
4.2,75,class_12
2.6,67,class_12
4.6,69,class_12
3.7,84,class_13
1.8,58,class_13
4.7,90,class_13
4.5,82,class_13
4.5,71,class_13
4.8,80,class_13
2,51,class_13
4.8,80,class_13
1.9,62,class_13
4.7,84,class_13
2,51,class_13
5.1,81,class_13
4.3,83,class_13
4.8,84,class_13
3,72,class_14
2.1,54,class_14
4.6,75,class_14
4,74,class_14
2.2,51,class_14
5.1,91,class_14
2.9,60,class_14
4.3,80,class_14
2.1,54,class_14
4.7,80,class_14
4.5,70,class_14
1.7,60,class_14
4.2,86,class_14
4.3,78,class_14
1.7,51,class_15
4.4,83,class_15
4.2,76,class_15
2.2,51,class_15
4.7,90,class_15
4,71,class_15
1.8,49,class_15
4.7,88,class_15
1.8,52,class_15
4.5,79,class_15
2.1,61,class_15
4.2,81,class_15
2.1,48,class_15
5.2,84,class_15
2,63,class_15
