@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute class {class_0,class_1}

@data
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.9623,1,0.9139,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,0,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.6818,1,0.9499,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,1,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.9623,1,0.866,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,2,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.9332,1,0.7146,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,3,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.8189,1,0.866,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,4,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.8189,1,1,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,5,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.6818,1,0.321,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,6,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.6818,1,0.7146,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,7,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.6818,1,0.9139,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,8,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.9332,1,0.9139,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,9,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.8489,1,0.866,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,10,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.8489,1,0.9139,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,11,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.6818,1,0.866,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,12,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.83,1,0.866,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,13,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.8189,1,0.866,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,14,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.8489,1,0.866,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,15,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.8189,1,0.611,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,16,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.6818,1,0.611,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,17,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.8189,1,0.7146,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,18,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.9623,1,0.9139,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,19,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.6818,1,0.9139,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,20,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.8189,1,0.9139,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,21,class_0
