@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute class {class_0,class_1}

@data
0,47300,34062,262,3215,658,42,4,658,21,20,86242,40144,25303,8072,class_0
1,2392,5610,73,53,17,3,0,0,3,3,8154,2273,3684,667,class_0
2,18850,38637,248,828,171,18,5,3,37,18,58815,17020,28290,5922,class_0
3,3072,5413,65,84,28,2,0,0,3,2,8669,3356,4038,819,class_0
6,2155,2873,90,39,10,1,0,1,3,2,5174,1794,1717,630,class_0
7,29641,35419,182,1461,127,15,6,3,12,19,66885,27121,27836,7783,class_0
8,25501,29744,270,1378,194,16,5,0,28,18,57154,22042,20114,7244,class_0
9,14630,41745,186,562,204,14,1,3,9,6,57360,13246,30332,3281,class_0
10,29905,60426,122,1400,185,34,7,4,29,10,92122,23182,42590,6320,class_0
11,7047,10964,89,258,127,7,1,2,5,8,18508,6691,7588,1970,class_0
13,3322,4256,36,157,23,0,0,3,2,8,7807,3219,3272,965,class_0
14,1825,2698,29,75,32,2,0,0,2,3,4666,1731,1398,652,class_0
17,13891,12608,83,435,60,4,1,3,12,3,27100,9583,8232,2185,class_0
18,2042,2448,33,85,17,3,1,0,2,3,4634,2095,1563,878,class_0
19,9565,4750,39,139,24,4,7,3,12,6,14549,9405,3813,938,class_0
20,1910,3300,29,97,52,1,0,0,4,2,5395,1985,1939,841,class_0
21,1420,1840,9,56,12,3,0,1,1,0,3342,1530,1361,521,class_0
22,2389,3546,71,86,21,4,2,2,9,2,6132,2480,2424,1054,class_0
23,1718,2153,24,39,11,2,6,9,4,7,3973,1734,1518,406,class_0
24,2341,3764,30,75,17,2,0,0,3,2,6234,2417,2926,851,class_0
25,3239,4743,22,103,11,1,3,2,2,7,8133,3882,3855,1135,class_0
26,32644,30646,242,1501,116,26,8,4,22,10,65219,28520,22039,7272,class_0
27,14152,20196,99,409,51,14,5,3,7,5,34941,14244,15608,3739,class_0
29,2154,4985,76,91,18,7,1,3,2,6,7343,2310,3248,1208,class_0
30,19769,28627,105,950,123,13,4,2,10,13,49616,16373,22709,4635,class_0
31,6868,9138,102,138,40,2,0,1,7,4,16300,6665,7187,1602,class_0
32,3038,2481,29,76,14,1,2,1,0,0,5642,2543,1851,393,class_0
33,788,1669,10,26,6,0,3,1,0,1,2504,829,1166,316,class_0
34,36555,49963,289,1459,203,36,4,1,14,21,88545,25750,35089,8813,class_0
37,5403,6860,67,284,92,1,1,1,11,10,12730,4938,4299,1774,class_0
38,1011,1316,39,19,12,3,0,0,2,1,2403,868,913,376,class_0
39,3011,3038,29,54,18,2,0,1,5,1,6159,2791,2195,578,class_0
42,26619,33864,108,1075,105,29,13,8,12,19,61852,20851,28516,5005,class_0
43,16483,16059,47,1090,162,26,1,0,7,3,33878,15219,12021,4817,class_0
44,6952,16404,90,255,63,8,0,4,3,3,23782,7276,12134,1657,class_0
45,16924,52043,267,984,313,15,4,2,20,33,70605,16434,40631,5432,class_0
46,4588,5058,43,131,21,4,1,1,4,3,9854,4824,3415,1666,class_0
48,28177,26216,145,732,309,21,10,5,33,10,55658,21870,18335,6091,class_0
