@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute class {class_0,class_1}

@data
16,1,15600,class_0
94,1,15001,class_0
83,1,15628,class_0
117,1,14222,class_0
119,1,14308,class_0
157,1,12978,class_0
85,1,14511,class_0
86,1,13544,class_0
35,1,13293,class_0
18,1,13050,class_0
98,1,13207,class_0
169,1,12548,class_0
52,2,16423,class_0
113,2,12614,class_0
130,2,12595,class_0
143,3,16113,class_0
2,3,15421,class_0
179,3,15434,class_0
133,3,13597,class_0
80,3,14724,class_0
55,3,14450,class_0
152,3,14803,class_0
92,3,13977,class_0
96,3,14570,class_0
77,3,14231,class_0
134,3,12890,class_0
100,3,13505,class_0
158,3,12714,class_0
7,3,13669,class_0
24,3,13721,class_0
151,3,13297,class_0
78,4,17819,class_0
69,4,16719,class_0
32,4,15617,class_0
53,4,15680,class_0
95,4,15556,class_0
57,4,13659,class_0
11,4,13626,class_0
142,4,12784,class_0
156,5,18125,class_0
116,5,17666,class_0
74,5,16159,class_0
176,5,15282,class_0
33,5,14040,class_0
146,5,14973,class_0
170,5,14650,class_0
9,5,12433,class_0
1,6,21995,class_0
6,6,20966,class_0
135,6,18911,class_0
79,6,18129,class_0
68,6,18878,class_0
149,6,17367,class_0
139,6,17644,class_0
175,6,17311,class_0
0,6,17049,class_0
84,6,16040,class_0
137,6,14870,class_0
140,7,13723,class_0
67,7,13726,class_0
36,7,12767,class_0
108,7,12952,class_0
141,7,11618,class_0
161,7,11700,class_0
164,7,12502,class_0
165,7,13320,class_0
103,7,10473,class_0
114,7,11885,class_0
102,7,11688,class_0
101,7,11419,class_0
62,7,11337,class_0
166,7,13183,class_0
76,7,10499,class_0
45,7,10859,class_0
26,7,10982,class_0
182,7,10176,class_0
167,7,12317,class_0
127,7,11412,class_0
54,7,11077,class_0
61,7,10856,class_0
71,7,10383,class_0
82,7,10232,class_0
48,7,9569,class_0
125,7,9939,class_0
174,7,10252,class_0
8,7,9781,class_0
60,7,9426,class_0
42,1,14650,class_1
31,1,14222,class_1
41,1,15065,class_1
49,1,14916,class_1
180,1,14477,class_1
184,1,14239,class_1
106,1,14202,class_1
93,1,13726,class_1
72,1,13555,class_1
12,1,13723,class_1
27,1,14333,class_1
63,1,13501,class_1
172,1,13224,class_1
171,2,15156,class_1
147,2,15973,class_1
155,2,14576,class_1
25,2,15361,class_1
19,2,14288,class_1
159,2,14711,class_1
44,2,14259,class_1
123,2,14290,class_1
138,2,13833,class_1
105,2,14033,class_1
97,2,12963,class_1
173,2,14255,class_1
29,2,13175,class_1
28,2,12219,class_1
183,3,22331,class_1
109,3,17063,class_1
21,3,15851,class_1
58,3,15448,class_1
75,3,15278,class_1
160,3,15275,class_1
38,3,14033,class_1
40,3,14587,class_1
39,3,14201,class_1
145,3,14516,class_1
126,3,14039,class_1
20,3,14136,class_1
59,3,14371,class_1
128,3,13762,class_1
5,3,13602,class_1
99,3,12948,class_1
15,4,22934,class_1
46,4,18266,class_1
154,4,17188,class_1
153,4,16960,class_1
22,4,16040,class_1
50,4,16457,class_1
64,4,15705,class_1
131,4,15756,class_1
66,4,15593,class_1
89,4,14099,class_1
148,4,13628,class_1
124,4,14973,class_1
107,4,14874,class_1
65,4,13554,class_1
14,4,13994,class_1
120,4,13685,class_1
73,4,13240,class_1
81,5,24161,class_1
168,5,22067,class_1
3,5,20043,class_1
56,5,18311,class_1
51,5,18666,class_1
87,5,18913,class_1
30,5,19673,class_1
104,5,17994,class_1
144,5,17682,class_1
132,5,16841,class_1
115,5,15795,class_1
43,5,13148,class_1
150,6,21487,class_1
91,6,21349,class_1
111,6,17847,class_1
112,6,18681,class_1
88,6,18146,class_1
47,6,17929,class_1
4,6,17643,class_1
10,6,17666,class_1
13,6,17591,class_1
23,6,18275,class_1
70,6,17182,class_1
177,6,16693,class_1
178,6,15663,class_1
162,6,16842,class_1
34,6,16396,class_1
122,6,16502,class_1
110,6,15435,class_1
118,6,15200,class_1
90,6,16783,class_1
121,6,15488,class_1
181,6,15591,class_1
37,6,14704,class_1
163,6,14742,class_1
136,6,14348,class_1
129,6,15336,class_1
17,6,14455,class_1
