@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute class {class_0,class_1}

@data
1,400,2,1,21464,0,1023,1,1,1,1,14.5,261,2.6,1718,138,190,12.2,class_0
1,400,2,1,21464,0,348,1,1,1,1,21.3,372,2.94,1612,6.2,183,11.2,class_0
3,1012,2,1,25594,1,1023,0,0,0,0.5,1.4,176,3.48,516,96.1,151,12,class_0
3,1012,2,1,25594,1,268,0,1,1,0,1.1,317,3.29,353,69.8,160,12,class_0
3,1012,2,1,25594,1,747,0,0,0,0.5,1.5,233,3.57,218,57.4,107,12,class_0
3,1012,2,1,25594,1,945,0,0,1,0.5,1.8,185,3.25,447,88.4,109,13.3,class_0
4,1925,2,1,19994,0,1023,0,1,1,0.5,1.8,244,2.54,6122,60.6,183,10.3,class_0
4,1925,2,1,19994,0,330,0,1,1,0.5,1.6,424,2.88,1175,169,240,19,class_0
4,1925,2,1,19994,0,768,0,1,1,0.5,1.7,414,2.8,1157,165.9,251,11.6,class_0
4,1925,2,1,19994,0,932,0,1,1,1,3.2,356,2.92,1178,167.4,220,10.8,class_0
4,1925,2,1,19994,0,107,0,0,1,1,3.7,293,2.59,1067,204.6,338,13.7,class_0
4,1925,2,1,19994,0,166,0,1,1,1,4,269,2.59,1035,162.8,200,12.8,class_0
4,1925,2,1,19994,0,298,1,1,1,1,5.3,140,1.83,623,131.8,101,17,class_0
5,1505,1,0,13918,0,793,0,1,0,0.5,2.5,312,3.34,652,117.8,99,10.5,class_0
5,1505,1,0,13918,0,966,0,1,1,1,5.7,190,3.09,554,172.1,90,11.4,class_0
5,1505,1,0,13918,0,46,0,1,1,1,5.2,198,3.02,588,170,82,11.3,class_0
5,1505,1,0,13918,0,161,0,1,1,0.5,19,91,2.09,377,156,101,13.9,class_0
6,2503,2,0,24201,0,190,0,0,0,0,0.6,268,3.79,682,60,264,10.5,class_0
6,2503,2,0,24201,0,506,0,0,0,0,0.7,342,4.2,4644,60,327,10.5,class_0
8,2466,2,0,19379,0,977,0,0,0,0,0.7,335,3.55,1316,142.6,388,10.7,class_0
8,2466,2,0,19379,0,97,0,1,0,0,0.9,426,3.69,1199,170.5,322,10.6,class_0
8,2466,2,0,19379,0,219,0,1,0,0,1.3,425,3.08,1672,201.5,229,10.9,class_0
8,2466,2,0,19379,0,361,0,1,0,0,1.8,307,2.93,1968,167.4,232,10.8,class_0
8,2466,2,0,19379,0,452,1,1,0,0.5,5.4,341,2.47,1203,120.9,238,11.3,class_0
10,51,2,0,25772,0,1023,1,0,1,1,12.6,200,2.74,918,147.3,302,11.5,class_0
11,3762,2,0,19619,0,1023,0,1,1,0,1.4,259,4.16,1104,79.1,258,12,class_0
11,3762,2,0,19619,0,294,0,0,0,0,1.2,275,3.71,900,117.8,285,12,class_0
11,3762,2,0,19619,0,782,0,0,0,0,1.5,226,3.71,1063,86.8,265,11,class_0
11,3762,2,0,19619,0,948,0,0,0,0,2.2,434,4.11,1112,128.7,244,12.3,class_0
11,3762,2,0,19619,0,58,0,0,0,0,2,312,4.23,886,114.7,187,11.7,class_0
11,3762,2,0,19619,0,183,0,0,0,0,2.1,222,3.58,874,133.3,155,12,class_0
11,3762,2,0,19619,0,298,0,1,0,0,3.4,273,3.6,750,114.7,135,12.2,class_0
11,3762,2,0,19619,0,444,0,1,1,0,3.2,360,3.38,584,99.2,108,11.8,class_0
11,3762,2,0,19619,0,558,0,0,1,0.5,3.6,208,2.83,450,99,85,11.8,class_0
11,3762,2,0,19619,0,635,0,0,1,1,4.6,236,2.61,543,107,77,12.8,class_0
11,3762,2,0,19619,0,679,1,1,1,1,3.7,195,2.6,506,106,92,13.1,class_0
11,3762,2,0,19619,0,761,1,1,1,1,9.6,502,2.31,660,121,132,15.1,class_0
12,304,2,0,21600,0,1023,0,0,1,0,3.6,236,3.52,591,82.2,71,13.6,class_0
12,304,2,0,21600,0,285,1,0,1,0.5,10,275,3,737,114.7,98,14.1,class_0
13,4247,0,0,16688,0,787,0,0,1,0,0.8,340,3.81,1612,113.2,246,10,class_0
13,4247,0,0,16688,0,982,0,0,1,0,1.2,360,3.59,1525,138,217,9.2,class_0
13,4247,0,0,16688,0,84,0,0,1,0,1,391,3.49,1346,103.9,247,9.1,class_0
13,4247,0,0,16688,0,222,0,0,1,0,1.1,372,3.39,1350,69.8,233,9.5,class_0
13,4247,0,0,16688,0,357,0,0,1,0,0.9,347,3.41,1303,69,197,9.5,class_0
13,4247,0,0,16688,0,479,0,0,1,0,1.1,395,3.8,1151,92,222,9.8,class_0
13,4247,0,0,16688,0,590,0,0,1,0,1.6,260,3.42,1161,92,218,10.1,class_0
13,4247,0,0,16688,0,706,0,0,0,0,1.1,320,3.14,901,60,241,10.8,class_0
13,4247,0,0,16688,0,775,0,0,0,0,1.9,351,3.56,1088,101,207,10.8,class_0
13,4247,0,0,16688,0,833,0,0,0,0,1.2,221,4.26,751,72,176,10.2,class_0
