@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute class {class_0,class_1}

@data
1983,1,class_0
1983,11,class_0
1983,12,class_0
1983,13,class_0
1983,14,class_0
1983,17,class_0
1983,20,class_0
1983,21,class_0
1983,46,class_0
1983,47,class_0
1983,48,class_0
1983,49,class_0
1983,50,class_0
1983,51,class_0
1983,52,class_0
1984,1,class_0
1984,2,class_0
1984,5,class_0
1984,12,class_0
1984,14,class_0
1984,15,class_0
1984,19,class_0
1984,36,class_0
1984,39,class_0
1984,40,class_0
1984,42,class_0
1984,43,class_0
1984,44,class_0
1984,50,class_0
1984,51,class_0
1984,52,class_0
1985,1,class_0
1985,2,class_0
1985,3,class_0
1985,4,class_0
1985,5,class_0
1985,6,class_0
1985,7,class_0
1985,8,class_0
1985,9,class_0
1985,10,class_0
1985,11,class_0
1985,12,class_0
1985,13,class_0
1985,14,class_0
1985,15,class_0
1985,16,class_0
1985,17,class_0
1985,18,class_0
1985,19,class_0
1985,20,class_0
1985,21,class_0
1985,23,class_0
1985,34,class_0
1985,35,class_0
1985,36,class_0
1985,46,class_0
1985,47,class_0
1985,48,class_0
1985,49,class_0
1985,50,class_0
1985,51,class_0
1985,52,class_0
1986,1,class_0
1986,6,class_0
1986,7,class_0
1986,8,class_0
1986,9,class_0
1986,10,class_0
1986,11,class_0
1986,12,class_0
1986,13,class_0
1986,14,class_0
1986,15,class_0
1986,16,class_0
1986,17,class_0
1986,18,class_0
1986,19,class_0
1986,20,class_0
1986,21,class_0
1986,22,class_0
1986,23,class_0
1986,24,class_0
1986,25,class_0
1986,26,class_0
1986,27,class_0
1986,28,class_0
1986,29,class_0
1986,30,class_0
1986,31,class_0
1986,32,class_0
1986,33,class_0
1986,34,class_0
1986,35,class_0
1986,36,class_0
1986,37,class_0
1986,38,class_0
1986,39,class_0
1986,40,class_0
1986,41,class_0
1986,42,class_0
1986,43,class_0
1986,44,class_0
1986,45,class_0
1986,46,class_0
1986,47,class_0
1986,48,class_0
1986,49,class_0
1986,50,class_0
1986,51,class_0
1986,52,class_0
1987,1,class_0
1987,2,class_0
1987,3,class_0
1987,4,class_0
1987,5,class_0
1987,7,class_0
1987,8,class_0
1987,10,class_0
1987,11,class_0
1987,12,class_0
1987,13,class_0
1987,14,class_0
1987,15,class_0
1987,37,class_0
1987,39,class_0
1987,41,class_0
1987,42,class_0
1987,43,class_0
1987,44,class_0
1987,45,class_0
1987,46,class_0
1987,47,class_0
1987,48,class_0
1987,49,class_0
1987,50,class_0
1987,51,class_0
1987,52,class_0
1988,1,class_0
1988,2,class_0
1988,3,class_0
1988,4,class_0
1988,5,class_0
1988,6,class_0
1988,7,class_0
1988,8,class_0
1988,9,class_0
1988,10,class_0
1988,11,class_0
1988,12,class_0
1988,13,class_0
1988,14,class_0
1988,15,class_0
1988,16,class_0
1988,17,class_0
1988,18,class_0
1988,19,class_0
1988,20,class_0
1988,21,class_0
1988,22,class_0
1988,23,class_0
1988,24,class_0
1988,25,class_0
1988,26,class_0
1988,27,class_0
1988,28,class_0
1988,29,class_0
1988,30,class_0
1988,31,class_0
1988,32,class_0
1988,33,class_0
1988,34,class_0
1988,38,class_0
1988,42,class_0
1988,43,class_0
1988,44,class_0
1988,46,class_0
1988,47,class_0
1988,48,class_0
1988,49,class_0
1988,50,class_0
1988,51,class_0
1988,52,class_0
1989,1,class_0
1989,2,class_0
1989,3,class_0
1989,4,class_0
1989,5,class_0
1989,6,class_0
1989,7,class_0
1989,8,class_0
1989,9,class_0
1989,10,class_0
1989,11,class_0
1989,12,class_0
1989,13,class_0
1989,14,class_0
1989,15,class_0
1989,16,class_0
