@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute class {class_0,class_1}

@data
1,53,0,2011,-70.955,42.255,24,24,0.00632,18,2.31,0,0.538,6.575,65.2,4.09,0,296,15.3,396.9,class_0
2,76,1,2021,-70.95,42.2875,21.6,21.6,0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,1,242,17.8,396.9,class_0
3,76,1,2022,-70.936,42.283,34.7,34.7,0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,1,242,17.8,392.83,class_0
4,45,2,2031,-70.928,42.293,33.4,33.4,0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,2,222,18.7,394.63,class_0
5,45,2,2032,-70.922,42.298,36.2,36.2,0.06905,0,2.18,0,0.458,7.147,54.2,6.0622,2,222,18.7,396.9,class_0
6,45,2,2033,-70.9165,42.304,28.7,28.7,0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,2,222,18.7,394.12,class_0
7,68,3,2041,-70.936,42.297,22.9,22.9,0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,4,311,15.2,395.6,class_0
14,41,4,2051,-70.9645,42.292,20.4,20.4,0.62976,0,8.14,0,0.538,5.949,61.8,4.7075,3,307,21,396.9,class_0
15,41,4,2052,-70.972,42.287,18.2,18.2,0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,3,307,21,380.02,class_0
16,41,4,2053,-70.9765,42.294,19.9,19.9,0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,3,307,21,395.62,class_0
17,41,4,2054,-70.987,42.2985,23.1,23.1,1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,3,307,21,386.85,class_0
19,41,4,2056,-70.9925,42.2825,20.2,20.2,0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,3,307,21,288.99,class_0
20,41,4,2057,-70.988,42.2776,18.2,18.2,0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,3,307,21,390.95,class_0
30,41,4,2067,-70.951,42.278,21,21,1.00245,0,8.14,0,0.538,6.674,87.3,4.239,3,307,21,380.23,class_0
36,69,5,2081,-71,42.27,18.9,18.9,0.06417,0,5.96,0,0.499,5.933,68.2,3.3603,4,279,19.2,396.9,class_0
37,69,5,2082,-71.008,42.2745,20,20,0.09744,0,5.96,0,0.499,5.841,61.4,3.3779,4,279,19.2,377.56,class_0
38,69,5,2083,-71.004,42.2865,21,21,0.08014,0,5.96,0,0.499,5.85,41.5,3.9342,4,279,19.2,396.9,class_0
39,69,5,2084,-71.02,42.2875,24.7,24.2,0.17505,0,5.96,0,0.499,5.966,30.2,3.8473,4,279,19.2,393.43,class_0
40,42,6,2091,-71.013,42.313,30.8,30.8,0.02763,75,2.95,0,0.428,6.595,21.8,5.4011,2,252,18.3,395.63,class_0
41,42,6,2092,-71.03,42.324,34.9,34.9,0.03359,75,2.95,0,0.428,7.024,15.8,5.4011,2,252,18.3,395.62,class_0
42,61,7,2101,-71.004,42.335,26.6,26.6,0.12744,0,6.91,0,0.448,6.77,2.9,5.7209,2,233,17.9,385.41,class_0
43,61,7,2102,-71.003,42.3235,25.3,25.3,0.1415,0,6.91,0,0.448,6.169,6.6,5.7209,2,233,17.9,383.37,class_0
44,61,7,2103,-70.9775,42.3237,24.7,24.7,0.15936,0,6.91,0,0.448,6.211,6.5,5.7209,2,233,17.9,394.46,class_0
45,61,7,2104,-70.9675,42.317,21.2,21.2,0.12269,0,6.91,0,0.448,6.069,40,5.7209,2,233,17.9,389.39,class_0
46,61,7,2105,-70.9725,42.3075,19.3,19.3,0.17142,0,6.91,0,0.448,5.682,33.8,5.1004,2,233,17.9,396.9,class_0
52,28,8,2112,-70.963,42.3382,20.5,20.5,0.04337,21,5.64,0,0.439,6.115,63,6.8147,3,243,16.8,393.97,class_0
53,28,8,2113,-70.958,42.346,25,25,0.0536,21,5.64,0,0.439,6.511,21.1,6.8147,3,243,16.8,396.9,class_0
54,28,8,2114,-70.978,42.3425,23.4,23.4,0.04981,21,5.64,0,0.439,5.998,21.4,6.8147,3,243,16.8,396.9,class_0
56,77,10,2141,-70.9625,42.381,35.4,35.4,0.01311,90,1.22,0,0.403,7.249,21.9,8.6966,4,226,17.9,395.93,class_0
57,34,11,2151,-70.93,42.374,24.7,24.7,0.02055,85,0.74,0,0.41,6.383,35.7,9.1876,1,313,17.3,396.9,class_0
58,84,12,2161,-70.9295,42.3715,31.6,31.6,0.01432,100,1.32,0,0.411,6.816,40.5,8.3248,4,256,15.1,392.9,class_0
59,4,13,2171,-70.9385,42.346,23.3,23.3,0.15445,25,5.13,0,0.453,6.145,29.2,7.8148,7,284,19.7,390.68,class_0
60,4,13,2172,-70.94,42.332,19.6,19.6,0.10328,25,5.13,0,0.453,5.927,47.2,6.932,7,284,19.7,396.9,class_0
63,4,13,2175,-70.9215,42.332,22.2,22.2,0.11027,25,5.13,0,0.453,6.456,67.8,7.2255,7,284,19.7,396.9,class_0
64,4,13,2176,-70.9075,42.339,25,25,0.1265,25,5.13,0,0.453,6.762,43.4,7.9809,7,284,19.7,395.58,class_0
65,44,14,2181,-70.86,42.345,33,33,0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,2,216,18.6,393.24,class_0
66,58,15,3301,-71.045,42.345,23.5,23.5,0.03584,80,3.37,0,0.398,6.29,17.8,6.6115,3,337,16.1,396.9,class_0
67,58,15,3302,-71.069,42.3525,19.4,19.4,0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,3,337,16.1,396.9,class_0
68,88,16,3311,-71.09,42.3362,22,22,0.05789,12.5,6.07,0,0.409,5.878,21.4,6.498,3,345,18.9,396.21,class_0
70,88,16,3313,-71.111,42.327,20.9,20.9,0.12816,12.5,6.07,0,0.409,5.885,33,6.498,3,345,18.9,396.9,class_0
71,22,17,3321,-71.121,42.316,24.2,24.2,0.08826,0,10.81,0,0.413,6.417,6.6,5.2873,3,305,19.2,383.73,class_0
72,22,17,3322,-71.1095,42.3008,21.7,21.7,0.15876,0,10.81,0,0.413,5.961,17.5,5.2873,3,305,19.2,376.94,class_0
73,22,17,3323,-71.13,42.305,22.8,22.8,0.09164,0,10.81,0,0.413,6.065,7.8,5.2873,3,305,19.2,390.91,class_0
74,22,17,3324,-71.123,42.292,23.4,23.4,0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,3,305,19.2,377.17,class_0
75,91,18,3331,-71.1105,42.289,24.1,24.1,0.07896,0,12.83,0,0.437,6.273,6,4.2515,4,398,18.7,394.92,class_0
76,91,18,3332,-71.1,42.2875,21.4,21.4,0.09512,0,12.83,0,0.437,6.286,45,4.5026,4,398,18.7,383.23,class_0
77,91,18,3333,-71.09,42.2835,20,20,0.10153,0,12.83,0,0.437,6.279,74.5,4.0522,4,398,18.7,373.66,class_0
78,91,18,3334,-71.076,42.2895,20.8,20.8,0.08707,0,12.83,0,0.437,6.14,45.8,4.0905,4,398,18.7,386.96,class_0
79,91,18,3335,-71.0905,42.295,21.2,21.2,0.05646,0,12.83,0,0.437,6.232,53.7,5.0141,4,398,18.7,386.4,class_0
80,91,18,3336,-71.091,42.305,20.3,20.3,0.08387,0,12.83,0,0.437,5.874,36.6,4.5026,4,398,18.7,396.06,class_0
81,65,19,3341,-71.0685,42.308,28,28,0.04113,25,4.86,0,0.426,6.727,33.5,5.4007,3,281,19,396.9,class_0
82,65,19,3342,-71.069,42.315,23.9,23.9,0.04462,25,4.86,0,0.426,6.619,70.4,5.4007,3,281,19,395.63,class_0
83,65,19,3343,-71.0675,42.326,24.8,24.8,0.03659,25,4.86,0,0.426,6.302,32.2,5.4007,3,281,19,396.9,class_0
84,65,19,3344,-71.0575,42.317,22.9,22.9,0.03551,25,4.86,0,0.426,6.167,46.7,5.4007,3,281,19,390.64,class_0
85,78,20,3351,-71.043,42.3075,23.9,23.9,0.05059,0,4.49,0,0.449,6.389,48,4.7794,2,247,18.5,396.9,class_0
86,78,20,3352,-71.05,42.3,26.6,26.6,0.05735,0,4.49,0,0.449,6.63,56.1,4.4377,2,247,18.5,392.3,class_0
88,78,20,3354,-71.039,42.2885,22.2,22.2,0.07151,0,4.49,0,0.449,6.121,56.8,3.7476,2,247,18.5,395.15,class_0
89,49,21,3361,-71.042,42.2796,23.6,23.6,0.0566,0,3.41,0,0.489,7.007,86.3,3.4217,1,270,17.8,396.9,class_0
90,49,21,3362,-71.0345,42.2785,28.7,28.7,0.05302,0,3.41,0,0.489,7.079,63.1,3.4145,1,270,17.8,396.06,class_0
