@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute class {class_0,class_1}

@data
1,2,1,5,2.66667,87.13,1,class_0
1,2,1,5,2.66667,87.13,2,class_0
2,2,1,1.66667,2,100,1,class_0
3,2,1,4.66667,2.33333,88.44,1,class_0
3,2,1,4.66667,2.33333,88.44,0,class_0
3,2,1,4.66667,2.33333,88.44,2,class_0
4,2,1,3.66667,4.66667,68.14,1,class_0
4,2,1,3.66667,4.66667,68.14,0,class_0
5,2,0,3.66667,4.66667,90.72,1,class_0
5,2,0,3.66667,4.66667,90.72,0,class_0
5,2,0,3.66667,4.66667,90.72,2,class_0
6,2,0,2.33333,2.33333,77.09,1,class_0
6,2,0,2.33333,2.33333,77.09,2,class_0
7,0,1,1.66667,3,84.8,1,class_0
7,0,1,1.66667,3,84.8,0,class_0
8,0,1,2,4.33333,89.2,1,class_0
8,0,1,2,4.33333,89.2,0,class_0
8,0,1,2,4.33333,89.2,2,class_0
9,2,0,4.66667,4.66667,90.35,1,class_0
9,2,0,4.66667,4.66667,90.35,0,class_0
9,2,0,4.66667,4.66667,90.35,2,class_0
10,0,0,1.66667,3.33333,48.38,1,class_0
11,2,0,4.33333,3.66667,53.69,1,class_0
11,2,0,4.33333,3.66667,53.69,2,class_0
12,0,1,3.66667,5,92.19,0,class_0
12,0,1,3.66667,5,92.19,2,class_0
13,0,1,3,1.33333,82.61,1,class_0
13,0,1,3,1.33333,82.61,0,class_0
14,0,1,5,5,97.02,1,class_0
14,0,1,5,5,97.02,0,class_0
14,0,1,5,5,97.02,2,class_0
15,2,0,1.66667,2.66667,88.91,1,class_0
15,2,0,1.66667,2.66667,88.91,0,class_0
16,2,1,5,5,86.67,0,class_0
16,2,1,5,5,86.67,2,class_0
17,1,0,1.66667,2,72.53,1,class_0
18,2,1,4.66667,4.33333,92.97,1,class_0
18,2,1,4.66667,4.33333,92.97,0,class_0
19,0,1,4.33333,5,40.66,1,class_0
