@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute value_22 numeric
@attribute value_23 numeric
@attribute value_24 numeric
@attribute class {class_0,class_1}

@data
145,0,1,0,1,4,2,0,88.6,168.8,64.1,48.8,2548,0,2,130,5,3.47,2.68,9,111,5000,21,27,13495,class_0
148,0,1,0,1,4,2,0,88.6,168.8,64.1,48.8,2548,0,2,130,5,3.47,2.68,9,111,5000,21,27,16500,class_0
104,0,1,0,1,3,2,0,94.5,171.2,65.5,52.4,2823,5,3,152,5,2.68,3.47,9,154,5000,19,26,16500,class_0
164,1,1,0,0,2,1,0,99.8,176.6,66.2,54.3,2337,3,2,109,5,3.19,3.4,10,102,5500,24,30,13950,class_0
164,1,1,0,0,2,0,0,99.4,176.6,66.4,54.3,2824,3,1,136,5,3.19,3.4,8,115,5500,18,22,17450,class_0
65,1,1,0,1,2,1,0,99.8,177.3,66.3,53.1,2507,3,1,136,5,3.19,3.4,8.5,110,5500,19,25,15250,class_0
158,1,1,0,0,2,1,0,105.8,192.7,71.4,55.7,2844,3,1,136,5,3.19,3.4,8.5,110,5500,19,25,17710,class_0
103,1,1,0,0,1,1,0,105.8,192.7,71.4,55.7,2954,3,1,136,5,3.19,3.4,8.5,110,5500,19,25,18920,class_0
158,1,1,1,0,2,1,0,105.8,192.7,71.4,55.9,3086,3,1,131,5,3.13,3.4,8.3,140,5500,17,20,23875,class_0
192,2,1,0,1,2,2,0,101.2,176.8,64.8,54.3,2395,3,2,108,5,3.5,2.8,8.8,101,5800,23,29,16430,class_0
