Numberofinstances,Numberoffeatures,Numberofclasses,Datasetdimensionality,Meanabsolutelinearcorrelationcoefficientofallpossiblepairsoffeatures,Meanskewness,Meankurtosis,Normalizedclassentropy,Meannormalizedfeatureentropy,Meanmutualinformationofclassandattribute,Maximummutualinformation,Equivalentnumberoffeatures,Noise-signalratio,Meanstandarddeviation,Meancoefficientofvariation,pruneddevattr,pruneddevbranch,pruneddevlevel,pruneddevheight,prunedleavesnumber,prunedmaxattr,prunedmaxbranch,prunedmaxlevel,prunedmeanattr,prunedmeanbranch,prunedmeanlevel,prunedminattr,prunedminbranch,prunednodenumber,prunedwidth,pruneddevclass,prunedmaxclass,prunedminclass,prunedmeanclass,unpruneddevattr,unpruneddevbranch,unpruneddevlevel,unprunedheight,unprunedleavesnumber,unprunedmaxattr,unprunedmaxbranch,unprunedmaxlevel,unprunedmeanattr,unprunedmeanbranch,unprunedmeanlevel,unprunedminattr,unprunedminbranch,unprunednodenumber,unprunedwidth,unpruneddevclass,unprunedmaxclass,unprunedminclass,unprunedmeanclass,class
898.000000,38.000000,5.000000,23.631579,-0.009268,-1.0,-1.0,0.121281,0.056746,3.605607,0.428467,0.329995,-0.845598,64.268148,-1.0,0.110917,0.533248,0.358430,8.000000,15.000000,2.000000,8.000000,3.000000,0.368421,4.866667,1.555556,0.000000,2.000000,29.000000,6.000000,1.172604,7.000000,1.000000,3.000000,0.136480,0.591257,0.319090,10.000000,20.000000,3.000000,10.000000,4.000000,0.500000,6.300000,1.727273,0.000000,2.000000,39.000000,8.000000,1.414214,9.000000,2.000000,4.000000,2
898.000000,38.000000,5.000000,23.631579,0.005879,-1.0,-1.0,0.121281,0.036834,1.654518,0.423294,0.719142,-0.781593,64.197263,-1.0,0.285489,0.419024,0.495156,11.000000,35.000000,7.000000,11.000000,5.000000,0.894737,7.028571,2.833333,0.000000,2.000000,69.000000,10.000000,3.142451,17.000000,2.000000,7.000000,0.331389,0.460388,0.472366,14.000000,44.000000,8.000000,14.000000,6.000000,1.131579,8.045455,2.866667,0.000000,2.000000,87.000000,12.000000,4.321458,22.000000,2.000000,8.800000,7
57.000000,16.000000,2.000000,3.562500,0.000045,0.347170,3.862427,0.160272,0.063790,1.136325,0.306804,0.822695,-0.672557,1.362938,0.773524,0.104083,0.552771,0.288675,3.000000,4.000000,1.000000,3.000000,1.000000,0.187500,2.250000,0.750000,0.000000,1.000000,7.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.123603,0.230940,0.552771,3.000000,6.000000,1.000000,3.000000,2.000000,0.312500,2.666667,1.250000,0.000000,2.000000,11.000000,4.000000,0.000000,3.000000,3.000000,3.000000,7
226.000000,69.000000,2.000000,3.275362,-0.001164,8.056818,99.474365,0.009343,0.002430,0.148438,0.039772,0.492235,-0.872002,0.343993,8.369991,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.707107,1.000000,0.000000,0.500000,0.024911,0.552771,0.288675,3.000000,4.000000,1.000000,3.000000,1.000000,0.043478,2.250000,0.750000,0.000000,1.000000,7.000000,2.000000,1.414214,3.000000,1.000000,2.000000,7
345.000000,6.000000,2.000000,57.500000,0.264610,1.681269,9.458986,0.116434,0.022022,0.064533,0.064533,15.210670,1.876898,15.804548,0.558104,0.955685,0.326096,0.606676,8.000000,26.000000,8.000000,8.000000,5.000000,4.166667,5.461538,2.777778,2.000000,3.000000,51.000000,10.000000,0.000000,13.000000,13.000000,13.000000,0.923760,0.314212,0.623610,8.000000,27.000000,8.000000,8.000000,5.000000,4.333333,5.518519,2.888889,2.000000,3.000000,53.000000,10.000000,0.707107,14.000000,13.000000,13.500000,7
205.000000,25.000000,6.000000,8.200000,0.051417,0.791556,6.917234,0.295915,0.120268,6.802622,1.189562,0.334059,-0.864229,361.623719,0.704383,0.227608,0.305094,0.810093,8.000000,28.000000,4.000000,8.000000,7.000000,1.080000,5.928571,3.000000,0.000000,2.000000,55.000000,14.000000,1.119524,8.000000,1.000000,4.666667,0.222985,0.298807,0.837490,8.000000,29.000000,4.000000,8.000000,7.000000,1.120000,6.000000,3.111111,0.000000,2.000000,57.000000,14.000000,1.110555,8.000000,1.000000,4.833333,7
148.000000,18.000000,4.000000,8.222222,0.150930,0.748199,5.355364,0.170287,0.068435,1.924958,0.352715,0.637768,-0.743694,0.699778,1.115896,0.166378,0.507424,0.285714,7.000000,13.000000,2.000000,7.000000,2.000000,0.666667,4.615385,1.500000,0.000000,2.000000,25.000000,4.000000,1.518406,6.000000,1.000000,3.250000,0.256031,0.544298,0.291865,9.000000,20.000000,4.000000,9.000000,3.000000,1.055556,6.050000,1.900000,0.000000,2.000000,39.000000,6.000000,2.708013,10.000000,1.000000,5.000000,2
625.000000,4.000000,3.000000,156.250000,0.000000,0.000000,1.700000,0.141920,0.147609,0.485105,0.121276,2.717179,1.826092,1.414214,0.471405,1.658312,0.207795,1.520691,8.000000,52.000000,16.000000,8.000000,12.000000,12.750000,6.615385,5.666667,9.000000,3.000000,103.000000,24.000000,3.894440,21.000000,11.000000,17.333333,2.179449,0.213709,1.544492,10.000000,60.000000,19.000000,10.000000,13.000000,14.750000,6.983333,5.363636,10.000000,3.000000,119.000000,26.000000,2.449490,22.000000,16.000000,20.000000,1
286.000000,9.000000,2.000000,31.777778,-0.052917,0.099304,3.549334,0.107581,0.051837,0.258912,0.075417,3.390518,0.633693,0.896908,0.791080,0.306186,0.669784,0.213201,10.000000,16.000000,3.000000,10.000000,2.000000,1.666667,5.937500,1.363636,1.000000,1.000000,31.000000,4.000000,1.414214,9.000000,7.000000,8.000000,0.661438,0.344344,0.674200,11.000000,43.000000,8.000000,11.000000,7.000000,4.666667,7.139535,3.500000,3.000000,2.000000,85.000000,14.000000,4.949747,25.000000,18.000000,21.500000,3
699.000000,9.000000,2.000000,77.666667,0.600737,1.478234,4.671506,0.098349,0.165287,4.531860,0.674588,0.205063,-0.655369,2.746677,0.903308,0.306186,0.322031,0.469042,5.000000,10.000000,2.000000,5.000000,3.000000,1.000000,3.600000,1.500000,0.000000,2.000000,19.000000,6.000000,0.000000,5.000000,5.000000,5.000000,0.586302,0.484346,0.411207,10.000000,22.000000,4.000000,10.000000,4.000000,2.333333,5.545455,1.909091,0.000000,3.000000,43.000000,8.000000,1.414214,12.000000,10.000000,11.000000,2
107.000000,12.000000,6.000000,8.916667,0.214435,0.062720,3.260870,0.345703,0.079360,2.718951,0.721005,0.857148,-0.803232,68.359150,0.659451,0.388364,0.487340,0.353553,8.000000,16.000000,5.000000,8.000000,3.000000,1.250000,5.312500,1.666667,0.000000,1.000000,31.000000,6.000000,0.611010,5.000000,1.000000,2.666667,0.445362,0.433013,0.465149,10.000000,25.000000,6.000000,10.000000,4.000000,2.000000,6.400000,2.181818,1.000000,1.000000,49.000000,8.000000,1.036018,8.000000,1.000000,4.166667,7
2000.000000,6.000000,10.000000,333.333333,0.143185,0.531168,2.462104,0.302936,0.212453,7.519549,1.700024,0.441772,-0.690179,630.749336,0.656124,4.451217,0.298213,1.009479,14.000000,69.000000,24.000000,14.000000,11.000000,11.333333,8.521739,4.533333,2.000000,2.000000,137.000000,22.000000,1.828782,15.000000,1.000000,6.900000,7.531268,0.201865,1.945691,14.000000,121.000000,43.000000,14.000000,21.000000,20.000000,9.041322,8.000000,2.000000,2.000000,241.000000,42.000000,3.327588,29.000000,1.000000,12.100000,7
107.000000,12.000000,6.000000,8.916667,0.199023,-0.127713,2.939255,0.343215,0.066296,2.410290,0.583047,0.959957,-0.814573,4.341504,0.731922,0.216407,0.659829,0.281091,9.000000,15.000000,2.000000,9.000000,3.000000,1.166667,5.666667,1.400000,0.000000,1.000000,29.000000,6.000000,0.469042,4.000000,1.000000,2.500000,0.267629,0.682956,0.224084,12.000000,21.000000,3.000000,12.000000,3.000000,1.666667,6.857143,1.538462,0.000000,1.000000,41.000000,6.000000,0.927362,7.000000,1.000000,3.500000,7
1728.000000,6.000000,4.000000,288.000000,0.000000,0.000000,1.570000,0.112111,0.099514,0.669522,0.262184,1.800899,0.598542,0.967265,0.780926,1.154701,0.260745,1.303735,11.000000,59.000000,14.000000,11.000000,13.000000,9.666667,8.474576,4.833333,6.000000,1.000000,117.000000,26.000000,5.172040,26.000000,5.000000,14.750000,1.213809,0.249350,1.399282,11.000000,62.000000,15.000000,11.000000,14.000000,10.166667,8.548387,5.083333,7.000000,1.000000,123.000000,28.000000,5.705748,28.000000,5.000000,15.500000,7
