ExpName, AlgoName, Timeout, ErrorEstimate, BestAlgo, BestParams
krvskp,autoweka,240,2.7921805,weka.classifiers.functions.Logistic,-R 1.9641651406571724E-8
krvskp,autoweka,300,2.7921805,weka.classifiers.functions.Logistic,-R 1.9641651406571724E-8
krvskp,autoweka,360,1.3412876,weka.classifiers.functions.MultilayerPerceptron,-L 0.2502946035818995 -M 0.6430377934334305 -H a -C -D -S 1
krvskp,autoweka,421,1.1623158,weka.classifiers.functions.MultilayerPerceptron,-L 0.2502946035818995 -M 0.6430377934334305 -H a -C -D -S 1
krvskp,autoweka,480,1.043335,weka.classifiers.functions.MultilayerPerceptron,-L 0.2502946035818995 -M 0.6430377934334305 -H a -C -D -S 1
krvskp,autoweka,540,0.9580626,weka.classifiers.functions.MultilayerPerceptron,-L 0.2502946035818995 -M 0.6430377934334305 -H a -C -D -S 1
krvskp,autoweka,601,0.83830476,weka.classifiers.functions.MultilayerPerceptron,-L 0.2502946035818995 -M 0.6430377934334305 -H a -C -D -S 1
krvskp,autoweka,661,0.79476297,weka.classifiers.functions.MultilayerPerceptron,-L 0.2502946035818995 -M 0.6430377934334305 -H a -C -D -S 1
krvskp,autoweka,720,0.75992954,weka.classifiers.functions.MultilayerPerceptron,-L 0.2502946035818995 -M 0.6430377934334305 -H a -C -D -S 1
krvskp,autoweka,780,0.75992954,weka.classifiers.functions.MultilayerPerceptron,-L 0.2502946035818995 -M 0.6430377934334305 -H a -C -D -S 1
krvskp,autoweka,840,0.75992954,weka.classifiers.functions.MultilayerPerceptron,-L 0.2502946035818995 -M 0.6430377934334305 -H a -C -D -S 1
krvskp,autoweka,901,0.75932896,weka.classifiers.trees.RandomForest,-I 254 -K 9 -depth 0
krvskp,autoweka,960,0.75932896,weka.classifiers.trees.RandomForest,-I 254 -K 9 -depth 0
krvskp,autoweka,1020,0.75932896,weka.classifiers.trees.RandomForest,-I 254 -K 9 -depth 0
krvskp,autoweka,1080,0.75932896,weka.classifiers.trees.RandomForest,-I 254 -K 9 -depth 0
krvskp,autoweka,1141,0.75932896,weka.classifiers.trees.RandomForest,-I 254 -K 9 -depth 0
krvskp,autoweka,1200,0.75932896,weka.classifiers.trees.RandomForest,-I 254 -K 9 -depth 0
krvskp,autoweka,1260,0.75932896,weka.classifiers.trees.RandomForest,-I 254 -K 9 -depth 0
krvskp,autoweka,1321,0.75932896,weka.classifiers.trees.RandomForest,-I 254 -K 9 -depth 0
krvskp,autoweka,1380,0.75932896,weka.classifiers.trees.RandomForest,-I 254 -K 9 -depth 0
krvskp,autoweka,1440,0.75932896,weka.classifiers.trees.RandomForest,-I 254 -K 9 -depth 0
krvskp,autoweka,1500,0.75932896,weka.classifiers.trees.RandomForest,-I 254 -K 9 -depth 0
krvskp,autoweka,1561,0.75932896,weka.classifiers.trees.RandomForest,-I 254 -K 9 -depth 0
krvskp,autoweka,1621,0.75932896,weka.classifiers.trees.RandomForest,-I 254 -K 9 -depth 0
krvskp,autoweka,1680,0.75932896,weka.classifiers.trees.RandomForest,-I 254 -K 9 -depth 0
krvskp,autoweka,1740,0.67004323,weka.classifiers.trees.RandomForest,-I 9 -K 21 -depth 0
krvskp,autoweka,1800,0.67004323,weka.classifiers.trees.RandomForest,-I 9 -K 21 -depth 0
krvskp,autoweka,1860,0.67004323,weka.classifiers.trees.RandomForest,-I 9 -K 21 -depth 0
krvskp,autoweka,1921,0.67004323,weka.classifiers.trees.RandomForest,-I 9 -K 21 -depth 0
krvskp,autoweka,1980,0.67004323,weka.classifiers.trees.RandomForest,-I 9 -K 21 -depth 0
krvskp,autoweka,2040,0.67004323,weka.classifiers.trees.RandomForest,-I 9 -K 21 -depth 0
krvskp,autoweka,2100,0.67004323,weka.classifiers.trees.RandomForest,-I 9 -K 21 -depth 0
krvskp,autoweka,2160,0.67004323,weka.classifiers.trees.RandomForest,-I 9 -K 21 -depth 0
krvskp,autoweka,2221,0.67004323,weka.classifiers.trees.RandomForest,-I 9 -K 21 -depth 0
krvskp,autoweka,2280,0.67004323,weka.classifiers.trees.RandomForest,-I 9 -K 21 -depth 0
krvskp,autoweka,2341,0.67004323,weka.classifiers.trees.RandomForest,-I 9 -K 21 -depth 0
krvskp,autoweka,2400,0.67004323,weka.classifiers.trees.RandomForest,-I 9 -K 21 -depth 0
krvskp,autoweka,2461,0.67004323,weka.classifiers.trees.RandomForest,-I 9 -K 21 -depth 0
krvskp,autoweka,2520,0.67004323,weka.classifiers.trees.RandomForest,-I 9 -K 21 -depth 0
krvskp,autoweka,2580,0.67004323,weka.classifiers.trees.RandomForest,-I 9 -K 21 -depth 0
