ExpName, AlgoName, Timeout, ErrorEstimate, BestAlgo, BestParams
semeion,autoweka,240,25.892857,weka.classifiers.trees.J48,-O -M 5 -C 0.07439791497393189
semeion,autoweka,300,25.892857,weka.classifiers.trees.J48,-O -M 5 -C 0.07439791497393189
semeion,autoweka,360,25.892857,weka.classifiers.trees.J48,-O -M 5 -C 0.07439791497393189
semeion,autoweka,420,25.892857,weka.classifiers.trees.J48,-O -M 5 -C 0.07439791497393189
semeion,autoweka,480,25.892857,weka.classifiers.trees.J48,-O -M 5 -C 0.07439791497393189
semeion,autoweka,540,25.892857,weka.classifiers.trees.J48,-O -M 5 -C 0.07439791497393189
semeion,autoweka,600,25.892857,weka.classifiers.trees.J48,-O -M 5 -C 0.07439791497393189
semeion,autoweka,660,25.892857,weka.classifiers.trees.J48,-O -M 5 -C 0.07439791497393189
semeion,autoweka,720,25.892857,weka.classifiers.trees.J48,-O -M 5 -C 0.07439791497393189
semeion,autoweka,780,25.892857,weka.classifiers.trees.J48,-O -M 5 -C 0.07439791497393189
semeion,autoweka,841,25.892857,weka.classifiers.trees.J48,-O -M 5 -C 0.07439791497393189
semeion,autoweka,900,25.892857,weka.classifiers.trees.J48,-O -M 5 -C 0.07439791497393189
semeion,autoweka,960,25.892857,weka.classifiers.trees.J48,-O -M 5 -C 0.07439791497393189
semeion,autoweka,1020,25.892857,weka.classifiers.trees.J48,-O -M 5 -C 0.07439791497393189
semeion,autoweka,1081,25.892857,weka.classifiers.trees.J48,-O -M 5 -C 0.07439791497393189
semeion,autoweka,1141,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,1200,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,1260,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,1321,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,1380,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,1440,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,1500,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,1561,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,1620,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,1680,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,1740,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,1800,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,1860,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,1920,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,1980,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,2041,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,2101,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,2160,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,2221,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,2280,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,2340,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,2400,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,2460,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,2520,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,2581,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,2640,8.059846,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,2702,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,2761,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,2821,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
