ExpName, AlgoName, Timeout, ErrorEstimate, BestAlgo, BestParams
car,autoweka,60,4.958678,weka.classifiers.functions.SMO,-C 0.579529417154989 -N 1 -M -K "weka.classifiers.functions.supportVector.RBFKernel -G 0.08992073798300618"
car,autoweka,120,4.958678,weka.classifiers.functions.SMO,-C 0.579529417154989 -N 1 -M -K "weka.classifiers.functions.supportVector.RBFKernel -G 0.08992073798300618"
car,autoweka,180,2.479339,weka.classifiers.functions.MultilayerPerceptron,-L 0.3731400643982008 -M 0.3374419631012233 -H t -C -D -S 1
car,autoweka,240,2.479339,weka.classifiers.functions.MultilayerPerceptron,-L 0.3731400643982008 -M 0.3374419631012233 -H t -C -D -S 1
car,autoweka,300,2.479339,weka.classifiers.functions.MultilayerPerceptron,-L 0.3731400643982008 -M 0.3374419631012233 -H t -C -D -S 1
car,autoweka,360,2.479339,weka.classifiers.functions.MultilayerPerceptron,-L 0.3731400643982008 -M 0.3374419631012233 -H t -C -D -S 1
car,autoweka,420,2.479339,weka.classifiers.functions.MultilayerPerceptron,-L 0.3731400643982008 -M 0.3374419631012233 -H t -C -D -S 1
car,autoweka,480,0.9917355,weka.classifiers.functions.MultilayerPerceptron,-L 0.58826796414946 -M 0.3082375452206607 -H t -C -S 1
car,autoweka,540,0.9917355,weka.classifiers.functions.MultilayerPerceptron,-L 0.58826796414946 -M 0.3082375452206607 -H t -C -S 1
car,autoweka,600,0.9917355,weka.classifiers.functions.MultilayerPerceptron,-L 0.58826796414946 -M 0.3082375452206607 -H t -C -S 1
car,autoweka,660,0.5785124,weka.classifiers.functions.SMO,-C 0.9873162518145772 -N 2 -K "weka.classifiers.functions.supportVector.PolyKernel -E 4.895036196875132 -L"
car,autoweka,720,0.5785124,weka.classifiers.functions.SMO,-C 0.9873162518145772 -N 2 -K "weka.classifiers.functions.supportVector.PolyKernel -E 4.895036196875132 -L"
car,autoweka,780,0.5785124,weka.classifiers.functions.SMO,-C 0.9873162518145772 -N 2 -K "weka.classifiers.functions.supportVector.PolyKernel -E 4.895036196875132 -L"
car,autoweka,840,0.5785124,weka.classifiers.functions.SMO,-C 0.9873162518145772 -N 2 -K "weka.classifiers.functions.supportVector.PolyKernel -E 4.895036196875132 -L"
car,autoweka,900,0.49586776,weka.classifiers.functions.SMO,-C 0.6100772538476343 -N 2 -K "weka.classifiers.functions.supportVector.PolyKernel -E 4.211853807227899"
car,autoweka,960,0.49586776,weka.classifiers.functions.SMO,-C 0.6100772538476343 -N 2 -K "weka.classifiers.functions.supportVector.PolyKernel -E 4.211853807227899"
car,autoweka,1020,0.49586776,weka.classifiers.functions.SMO,-C 0.6100772538476343 -N 2 -K "weka.classifiers.functions.supportVector.PolyKernel -E 4.211853807227899"
car,autoweka,1080,0.49586776,weka.classifiers.functions.SMO,-C 0.6100772538476343 -N 2 -K "weka.classifiers.functions.supportVector.PolyKernel -E 4.211853807227899"
car,autoweka,1140,0.49586776,weka.classifiers.functions.SMO,-C 0.6100772538476343 -N 2 -K "weka.classifiers.functions.supportVector.PolyKernel -E 4.211853807227899"
car,autoweka,1200,0.49586776,weka.classifiers.functions.SMO,-C 0.6100772538476343 -N 2 -K "weka.classifiers.functions.supportVector.PolyKernel -E 4.211853807227899"
car,autoweka,1260,0.49586776,weka.classifiers.functions.SMO,-C 0.6100772538476343 -N 2 -K "weka.classifiers.functions.supportVector.PolyKernel -E 4.211853807227899"
car,autoweka,1320,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,1380,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,1440,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,1500,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,1560,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,1620,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,1680,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,1740,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,1800,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,1860,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,1920,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,1980,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,2040,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,2100,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,2160,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,2220,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,2280,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,2340,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,2400,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,2460,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,2520,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,2580,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,2640,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,2700,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,2760,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,2820,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,2880,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,2940,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,3000,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,3060,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,3120,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,3180,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,3240,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,3300,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,3360,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,3420,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,3480,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
car,autoweka,3540,0.3305785,weka.classifiers.functions.SMO,-C 1.200982462671797 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.7260014104185486 -L"
