ExpName, AlgoName, Timeout, ErrorEstimate, BestAlgo, BestParams
car,autoweka,101,1.3774104,weka.classifiers.functions.MultilayerPerceptron,-L 0.2423298157350535 -M 0.6112888213658072 -H a -C -S 1
car,autoweka,201,1.1570247,weka.classifiers.functions.SMO,-C 1.0592975285015938 -N 2 -M -K "weka.classifiers.functions.supportVector.PolyKernel -E 2.9674246383629215"
car,autoweka,301,0.49586776,weka.classifiers.functions.SMO,-C 1.2129825184000895 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 2.7750453234494583 -L"
car,autoweka,401,0.41322315,weka.classifiers.functions.SMO,-C 0.9394029870087167 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.4614864098546976"
car,autoweka,500,0.41322315,weka.classifiers.functions.SMO,-C 0.9394029870087167 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.4614864098546976"
car,autoweka,601,0.41322315,weka.classifiers.functions.SMO,-C 0.9394029870087167 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.4614864098546976"
car,autoweka,700,0.3305785,weka.classifiers.functions.SMO,-C 1.4881228760747442 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.995587469665315 -L"
car,autoweka,801,0.3305785,weka.classifiers.functions.SMO,-C 1.4881228760747442 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.995587469665315 -L"
car,autoweka,900,0.3305785,weka.classifiers.functions.SMO,-C 1.4881228760747442 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.995587469665315 -L"
car,autoweka,1001,0.3305785,weka.classifiers.functions.SMO,-C 1.4881228760747442 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.995587469665315 -L"
car,autoweka,1100,0.3305785,weka.classifiers.functions.SMO,-C 1.4881228760747442 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.995587469665315 -L"
car,autoweka,1201,0.3305785,weka.classifiers.functions.SMO,-C 1.4881228760747442 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.995587469665315 -L"
car,autoweka,1301,0.3305785,weka.classifiers.functions.SMO,-C 1.4881228760747442 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.995587469665315 -L"
car,autoweka,1400,0.3305785,weka.classifiers.functions.SMO,-C 1.4881228760747442 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.995587469665315 -L"
car,autoweka,1500,0.3305785,weka.classifiers.functions.SMO,-C 1.4881228760747442 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.995587469665315 -L"
car,autoweka,1600,0.3305785,weka.classifiers.functions.SMO,-C 1.4881228760747442 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.995587469665315 -L"
car,autoweka,1701,0.3305785,weka.classifiers.functions.SMO,-C 1.4881228760747442 -N 0 -K "weka.classifiers.functions.supportVector.PolyKernel -E 3.995587469665315 -L"
